kills,assists,deaths,total_gold,gold_per_min,last_hits_per_min,hero_heal_damage,wards_placed,tower_damage,xp_per_min,rank_tier
15.0,10.0,0.0,12242.0,473.0,0.03,17614.0,0.0,1391.0,554.0,4.0
4.0,14.0,0.0,14313.0,553.0,0.1,10024.0,0.0,5908.0,574.0,4.0
2.0,5.0,0.0,4332.0,304.0,0.01,4417.0,0.0,1565.0,218.0,7.0
5.0,1.0,2.0,4930.0,346.0,0.01,3041.0,0.0,1948.0,251.0,7.0
3.0,2.0,0.0,7495.0,526.0,0.1,8693.0,0.0,164.0,575.0,7.0
4.0,3.0,1.0,7552.0,530.0,0.1,5133.0,0.0,5313.0,375.0,7.0
4.0,2.0,0.0,8336.0,585.0,0.1,3108.0,0.0,1844.0,433.0,7.0
1.0,1.0,5.0,2436.0,171.0,0.04,2009.0,0.0,0.0,122.0,7.0
0.0,1.0,5.0,3135.0,220.0,0.04,2593.0,0.0,0.0,231.0,7.0
1.0,0.0,2.0,1838.0,129.0,0.0,1446.0,0.0,0.0,93.0,7.0
0.0,0.0,3.0,2052.0,144.0,0.02,1062.0,0.0,0.0,111.0,7.0
12.0,8.0,14.0,16458.0,629.0,0.04,19958.0,0.0,24.0,722.0,5.0
21.0,13.0,4.0,17243.0,659.0,0.09,31220.0,0.0,6854.0,677.0,6.0
12.0,9.0,1.0,11006.0,491.0,0.04,18938.0,0.0,3215.0,451.0,6.0
12.0,6.0,3.0,14772.0,659.0,0.09,13905.0,0.0,12252.0,560.0,6.0
3.0,11.0,4.0,6949.0,310.0,0.02,9163.0,0.0,148.0,293.0,6.0
2.0,11.0,4.0,10827.0,483.0,0.08,12620.0,0.0,2555.0,392.0,7.0
0.0,20.0,3.0,7083.0,316.0,0.02,12413.0,0.0,937.0,329.0,6.0
3.0,8.0,8.0,5604.0,250.0,0.03,19772.0,0.0,0.0,276.0,6.0
3.0,7.0,5.0,5290.0,236.0,0.01,10732.0,0.0,0.0,322.0,6.0
1.0,7.0,8.0,3698.0,165.0,0.0,3569.0,0.0,0.0,176.0,6.0
4.0,2.0,4.0,8294.0,370.0,0.07,4493.0,0.0,0.0,494.0,6.0
1.0,9.0,5.0,6343.0,283.0,0.03,7396.0,0.0,30.0,354.0,5.0
2.0,4.0,10.0,7152.0,255.0,0.04,8482.0,0.0,0.0,347.0,5.0
6.0,20.0,2.0,11724.0,418.0,0.04,13796.0,0.0,2700.0,445.0,5.0
3.0,13.0,3.0,9677.0,345.0,0.01,6839.0,0.0,2891.0,385.0,4.0
7.0,12.0,5.0,14726.0,525.0,0.1,17471.0,0.0,7297.0,369.0,6.0
4.0,1.0,7.0,10816.0,365.0,0.06,8248.0,0.0,0.0,453.0,3.0
1.0,8.0,11.0,7704.0,260.0,0.05,12487.0,0.0,0.0,329.0,5.0
4.0,0.0,7.0,10075.0,340.0,0.07,8457.0,0.0,0.0,436.0,5.0
13.0,6.0,0.0,19232.0,649.0,0.11,20345.0,0.0,6027.0,737.0,5.0
1.0,15.0,4.0,9660.0,326.0,0.04,3372.0,0.0,17.0,298.0,5.0
19.0,3.0,1.0,20121.0,679.0,0.1,24107.0,0.0,9306.0,843.0,5.0
5.0,6.0,4.0,6272.0,376.0,0.05,6966.0,0.0,193.0,355.0,6.0
